SOG,COG,Heading,LON,LAT,Cluster
13.4,227.6,227,-89.29958,29.07019,2
0.0,0.0,0,-89.97235,29.25456,1
7.1,51.4,511,-92.20613,29.75368,2
0.0,0.0,0,-82.63027,27.77637,0
11.3,333.1,511,-94.7766,29.3301,2
0.0,0.0,0,-90.20319,29.13941,1
0.1,39.9,64,-95.15923,28.8611,1
0.0,0.0,0,-95.27643,29.73349,1
0.0,0.0,0,-92.18546,29.78029,1
0.0,0.0,0,-95.0958,29.74962,1
12.8,131.0,131,-94.4992,29.19717,1
6.2,19.0,26,-93.76808,29.53872,1
0.1,198.2,191,-80.07548,26.1181,0
0.4,258.0,217,-96.33855,27.56505,2
102.3,360.0,511,-91.09846,29.69095,2
8.9,245.9,511,-90.2118,29.14673,2
0.6,282.5,254,-93.84212,28.68602,2
0.0,0.0,0,-92.05265,29.43006,1
0.0,0.0,0,-95.27933,29.73957,1
12.1,50.5,47,-89.30204,29.06649,1
0.0,0.0,0,-90.20961,29.12181,1
18.7,38.2,511,-89.42913,28.9073,2
0.0,0.0,0,-90.21174,29.14598,1
11.9,133.0,132,-94.50005,29.18693,1
0.1,285.3,342,-90.08112,29.90115,2
10.1,306.5,312,-94.51977,29.25545,2
12.3,60.6,75,-79.84125,26.14695,0
11.7,274.4,272,-94.716,29.34599,2
0.0,0.0,0,-91.29705,29.68521,1
0.0,0.0,0,-80.12085,26.07455,0
16.8,148.1,145,-80.31096,28.11523,0
0.0,0.0,0,-90.20471,29.14341,1
8.9,307.7,307,-89.80152,29.57642,2
0.0,0.0,0,-93.86955,29.72572,1
0.0,0.0,0,-91.09841,29.69112,1
13.0,61.4,62,-82.66292,27.61692,0
0.9,292.0,161,-88.90815,29.419,2
0.3,253.4,34,-96.17877,27.55023,1
14.7,115.0,110,-86.02331,25.23996,0
0.0,0.0,0,-95.00875,29.61253,1
0.0,0.0,0,-93.32414,29.78899,1
14.0,175.4,174,-94.42675,28.40497,2
0.0,0.0,0,-93.32449,29.79468,1
0.0,0.0,0,-89.94573,29.87159,1
0.0,0.0,0,-97.06974,27.84004,1
0.1,9.8,59,-96.88345,27.78778,1
8.6,121.3,118,-89.81045,28.63764,1
0.0,0.0,0,-89.76491,29.5429,1
0.0,0.0,0,-82.44265,27.9148,0
1.2,115.0,104,-95.14503,29.73518,1
14.7,297.9,297,-84.56117,27.87074,2
0.0,0.0,0,-95.28496,29.74646,1
2.6,278.9,288,-79.99269,26.12087,0
0.0,0.0,0,-80.2561,25.80402,0
11.0,283.9,283,-94.69697,29.34287,2
0.0,0.0,0,-96.36423,27.72168,1
0.0,0.0,0,-93.69857,29.25004,1
13.1,228.3,229,-80.66115,24.60708,0
8.3,212.3,210,-94.63881,29.24969,2
0.0,0.0,0,-82.55877,27.63343,0
15.3,303.0,303,-89.23927,28.59354,2
14.4,202.3,204,-83.06704,27.45284,0
0.0,0.0,0,-95.20444,29.74185,1
10.4,171.2,168,-93.33387,29.70071,2
16.3,145.3,145,-92.829,28.14364,2
0.0,0.0,0,-80.12343,26.09525,0
11.2,83.0,83,-90.45552,28.00875,1
8.8,111.9,104,-89.61998,28.82037,1
12.9,89.5,89,-83.40933,23.66165,0
17.0,57.0,57,-90.12075,28.07238,1
13.9,71.0,73,-81.14209,24.38223,0
10.3,301.0,302,-89.82597,29.59226,2
12.3,179.3,176,-93.22992,29.08311,2
11.1,134.0,133,-93.75279,29.55546,1
0.8,175.4,5,-80.11666,26.08805,0
10.4,77.5,78,-93.54123,28.94447,1
0.0,0.0,0,-89.90789,29.88981,1
13.3,94.6,96,-85.03915,27.61201,0
0.0,0.0,0,-95.24397,29.71826,1
0.0,0.0,0,-88.96726,29.04342,1
0.0,0.0,0,-91.1018,29.65438,1
0.0,0.0,0,-93.62449,29.41142,1
11.5,265.8,267,-94.72031,29.34593,2
0.0,0.0,0,-90.08112,29.90115,1
0.0,0.0,0,-88.77475,28.17416,1
0.1,307.6,213,-90.3032,29.95487,2
0.0,0.0,0,-97.19391,27.82226,1
0.0,0.0,0,-94.671,29.22517,1
0.3,261.6,33,-96.17812,27.55008,1
18.6,37.8,511,-89.42495,28.91223,2
13.2,122.1,122,-91.45547,27.27783,1
13.2,61.3,62,-82.65872,27.61897,0
0.0,0.0,0,-93.64856,29.43491,1
12.4,268.4,267,-91.31158,27.95211,2
0.0,0.0,0,-80.24542,25.79637,0
0.0,0.0,0,-94.78565,28.67708,1
0.0,0.0,0,-96.91095,27.82064,1
12.6,129.9,128,-94.52641,29.16948,1
0.0,0.0,0,-89.33928,28.88567,1
0.0,0.0,0,-90.21424,29.14206,1
0.0,0.0,0,-95.20245,29.74246,1
8.9,15.5,511,-94.77689,29.33336,2
1.2,268.8,353,-94.36978,28.56848,2
0.0,0.0,0,-95.17341,29.74807,1
0.0,0.0,0,-94.45438,29.24539,1
0.0,0.0,0,-95.27561,29.73067,1
0.0,0.0,0,-96.49662,27.67769,1
0.0,0.0,0,-90.20319,29.13946,1
0.0,0.0,0,-94.61321,29.32409,1
1.0,332.4,8,-91.19434,27.93589,2
12.0,59.6,59,-95.79995,27.83856,1
0.1,356.8,101,-80.07218,26.12419,0
0.0,0.0,0,-94.46996,29.2521,1
0.0,0.0,0,-94.55412,29.29365,1
